File name;[Exam] Version;[IDStudent] IDNo001;[IDStudent] IDNo002;[IDStudent] IDNo003;[IDStudent] IDNo004;[IDStudent] IDNo005;[IDStudent] IDNo006;[IDStudent] IDNo007;[Question1to20] Q01;[Question1to20] Q02;[Question1to20] Q03;[Question1to20] Q04;[Question1to20] Q05;[Question1to20] Q06;[Question1to20] Q07;[Question1to20] Q08;[Question1to20] Q09;[Question1to20] Q10;[Question1to20] Q11;[Question1to20] Q12;[Question1to20] Q13;[Question1to20] Q14;[Question1to20] Q15;[Question1to20] Q16;[Question1to20] Q17;[Question1to20] Q18;[Question1to20] Q19;[Question1to20] Q20;[Question21to40] Q21;[Question21to40] Q22;[Question21to40] Q23;[Question21to40] Q24;[Question21to40] Q25;[Question21to40] Q26;[Question21to40] Q27;[Question21to40] Q28;[Question21to40] Q29;[Question21to40] Q30;[Question21to40] Q31;[Question21to40] Q32;[Question21to40] Q33;[Question21to40] Q34;[Question21to40] Q35;[Question21to40] Q36;[Question21to40] Q37;[Question21to40] Q38;[Question21to40] Q39;[Question21to40] Q40
exam_014;A;1;0;3;4;3;7;8;A;B;C;C;B;A;C;A;A;C;C;A;A;A;D;C;C;C;A;A;C;C;B;B;B;;;;;;;;;;;;;;;
exam_015;A;1;0;0;8;4;8;2;D;A;B;C;B;A;D;A;C;A;C;D;C;A;D;C;A;B;B;A;D;D;C;B;D;;;;;;;;;;;;;;;
exam_016;A;1;0;0;9;6;4;2;D;B;B;C;C;A;B;C;D;B;C;A;A;A;D;A;D;A;B;A;A;C;D;B;C;;;;;;;;;;;;;;;
exam_017;A;1;0;4;9;5;8;9;D;A;B;C;B;A;D;A;A;B;C;B;B;A;D;A;B;C;B;D;C;D;C;B;A;;;;;;;;;;;;;;;
exam_018;A;1;0;3;2;4;0;0;A;B;C;B;A;D;B;C;C;C;A;A;B;C;A;C;B;B;C;D;D;B;C;A;B;;;;;;;;;;;;;;;
exam_019;A;1;0;0;3;9;3;3;D;A;B;C;B;A;A;A;C;B;C;A;A;A;D;C;C;C;B;D;A;B;C;B;C;;;;;;;;;;;;;;;
exam_020;A;1;0;5;0;7;4;8;D;A;B;C;B;A;C;A;A;C;C;A;C;A;D;A;C;C;D;D;C;B;D;C;C;;;;;;;;;;;;;;;
exam_021;A;1;0;1;1;8;6;1;D;A;B;B;B;C;A;A;C;D;C;A;A;A;B;C;C;A;B;D;C;B;B;B;D;;;;;;;;;;;;;;;
exam_022;A;1;0;3;8;4;0;1;D;A;B;C;B;A;A;D;C;D;C;A;A;A;D;B;C;C;B;D;A;C;C;B;D;;;;;;;;;;;;;;;
exam_023;A;1;0;4;8;2;7;8;C;B;B;B;C;C;A;A;A;D;B;C;C;D;B;C;A;C;C;D;B;B;A;D;D;;;;;;;;;;;;;;;
exam_024;A;1;0;4;9;6;8;1;D;A;C;B;B;A;D;A;C;D;C;A;B;D;D;C;B;C;B;D;A;B;B;B;C;;;;;;;;;;;;;;;
exam_025;A;1;0;4;8;5;9;2;D;A;B;B;C;A;D;B;A;D;C;B;A;A;A;B;C;C;A;D;C;B;D;B;C;;;;;;;;;;;;;;;
exam_026;A;1;0;4;9;7;3;9;D;C;C;C;B;A;D;A;C;B;C;C;B;A;D;B;C;C;A;D;B;B;C;C;D;;;;;;;;;;;;;;;
exam_027;A;1;0;4;5;0;7;3;D;B;B;C;D;B;A;A;A;C;D;A;A;A;D;B;A;B;B;D;A;B;C;D;C;;;;;;;;;;;;;;;
exam_028;A;1;0;0;9;1;2;2;D;A;B;D;B;A;A;A;C;A;C;A;A;A;D;C;C;C;D;D;C;B;C;B;C;;;;;;;;;;;;;;;
exam_029;A;1;0;3;0;0;9;8;D;C;C;C;A;A;A;D;D;B;C;C;A;A;D;A;C;D;B;D;C;B;C;B;B;;;;;;;;;;;;;;;
exam_030;A;1;0;4;2;5;2;4;D;A;B;C;B;A;D;A;C;A;D;A;A;A;D;C;C;C;B;D;C;C;C;B;C;;;;;;;;;;;;;;;
exam_031;A;1;0;4;9;7;7;7;D;A;B;B;B;C;D;B;A;B;C;D;C;A;D;C;C;D;D;D;A;B;A;B;C;;;;;;;;;;;;;;;
exam_032;A;1;0;5;0;7;3;6;D;B;B;C;B;A;A;A;D;B;C;D;A;B;D;A;C;C;B;D;C;B;C;B;D;;;;;;;;;;;;;;;
exam_033;A;1;0;4;9;4;4;1;B;B;;C;B;A;D;A;B;B;C;D;A;B;D;B;D;C;B;D;A;B;C;D;A;;;;;;;;;;;;;;;
exam_034;A;1;0;2;3;5;1;8;D;A;B;C;B;A;A;A;C;D;C;A;A;A;D;C;C;D;B;D;D;B;D;C;C;;;;;;;;;;;;;;;
